Loan_ID,,Years_in_Employment,Marital_Status,Dependents,Applicant_Age,Applicant_Income,Loan_Amount,Interest_Rate,Credit_Score,Coapplicant_Income,,Existing_Debt,,Loan_Term_Months,,Collateral_Value,Employment_Type,Education_Level,Property_Area,Loan_Start_Date,Payment_Delays_6months,Credit_Utilization_Ratio,Debt_to_Income_Ratio,Loan_End_Date,Probability_of_Default,Default_Status,,,,,,,,,,,,,
bdd640fb-0667-4ad1-9c80-317fa3b1799d,,3,Divorced,4,60,49874,31696,6.8,520,33989,,9707.956177,,12,,75160.37795650346,Salaried,Not Graduate,Semiurban,21-Oct-2019,5,9.939191732635864,0.1157583251092757,21-Sep-2020,0.9999999928543676,1,,,,,,,,,,,,,
23b8c1e9-3924-46de-beb1-3b9046685257,,8,Divorced,1,50,61103,48805,9.1,649,40586,,21467.83136,,24,,101108.62871179207,Salaried,Graduate,Semiurban,2-Aug-2022,0,10.273957285194278,0.2111105453408964,4-Jun-2024,0.9999999999756344,1,,,,,,,,,,,,,
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,,3,Single,1,36,53128,47011,8.4,812,57952,,9639.84318,,60,,48515.77714,Salaried,Graduate,Semiurban,10-Jan-2020,3,40.03202288868261,0.086782107,16-Aug-2024,0.9999999999999984,1,,Applicant_Age,,Applicant_Income,,Loan_Amount,,Interest_Rate,,Credit_Score,,Coapplicant_Income,
972a8469-1641-4f82-8b9d-2434e465e150,,3,Single,0,64,37182,32969,6,705,42343,,53186.55175,,12,,82375.82080713664,Business,Graduate,Semiurban,6-Aug-2020,2,32.82012069756644,0.6687945042839498,8-Jul-2021,0.9999999999991932,1,,,,,,,,,,,,,
17fc695a-07a0-4a6e-8822-e8f36c031199,,3,Single,0,29,61348,24861,9.9,590,18674,,86235.94418,,84,,68009.44954553913,Salaried,Graduate,Rural,12-Dec-2019,2,24.40164642195513,1.0776394808897205,21-May-2026,0.9999999998418504,1,,Mean,42.8749,Mean,60233.04325,Mean,39317.75105,Mean,7.47784,Mean,648.53675,Mean,30373.58552
9a1de644-815e-46d1-bb8f-aa1837f8a88b,,5,Single,2,42,6394,28153,8.8,647,13312,,66817.93775,,36,,69704.57961371003,Salaried,Graduate,Semiurban,16-Feb-2018,3,5.684853934705016,3.3905687194061027,20-Nov-2020,0.9999999999923624,1,,Standard Error,0.086933741,Standard Error,175.1759104,Standard Error,115.427061,Standard Error,0.017773383,Standard Error,0.694868588,Standard Error,100.5431839
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,,43,Divorced,2,60,66132,28956,5.1,746,8163,,55714.22807,,12,,84339.85526398207,Salaried,Graduate,Semiurban,6-Jul-2022,3,50.580506738770495,0.7498953922877603,7-Jun-2023,0.9999999999998908,1,,Median,43,Median,60072.5,Median,36271.5,Median,7.5,Median,649,Median,30373.58552
6b65a6a4-8b81-48f6-b38a-088ca65ed389,,4,Married,1,40,95308,12938,9.8,807,3588,,5980.352804,,12,,5687.501045444987,Self-Employed,Graduate,Rural,11-May-2022,2,8.201941134007392,0.060470518,12-Apr-2023,0.9999999999999996,1,,Mode,38,Mode,56318,Mode,33252,Mode,6.9,Mode,850,Mode,30373.58552
47378190-96da-4dac-b2ff-5d2a386ecbe0,,2,Married,0,44,51326,34610,7.7,473,23493,,17475.05428,,36,,61495.39771865679,Salaried,Graduate,Rural,13-Jun-2019,3,14.100731259361392,0.2335612708163471,17-Mar-2022,0.9999999508551728,1,,Standard Deviation,12.29428759,Standard Deviation,24773.61483,Standard Deviation,16323.85151,Standard Deviation,2.513535921,Standard Deviation,98.26925812,Standard Deviation,14218.95343
c241330b-01a9-471f-9e8a-774bcf36d58b,,1,Married,1,32,111550,48320,8.4,764,33175,,61312.45812,,84,,139998.8944315721,Salaried,Not Graduate,Urban,30-Apr-2018,2,43.79556132972368,0.4236450818852407,7-Oct-2024,0.9999999999997562,1,,Sample Variance,151.1495075,Sample Variance,613731991.6,Sample Variance,266468128.2,Sample Variance,6.317862828,Sample Variance,9656.847092,Sample Variance,202178636.8
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,,1,Single,0,32,75076,33976,8.6,750,30418,,27967.92787,,12,,59793.75311002339,Self-Employed,Graduate,Rural,12-Sep-2022,1,70.30329284601288,0.2651114068705146,14-Aug-2023,0.9999999999999548,1,,Kurtosis,-1.175289926,Kurtosis,-0.160825275,Kurtosis,3.005997747,Kurtosis,-0.016422117,Kurtosis,-0.240067366,Kurtosis,-0.189584342
